+------------+----------+-------------+---+---------------+----------------+--------------------+
|   Symbol   | Net P/L  | Win pct (%) | | | Symbol (col2) | Net P/L (col2) | Win pct (%) (col2) |
+------------+----------+-------------+---+---------------+----------------+--------------------+
|    HAL     | 31088.96 |     60.0    | | |   SUNPHARMA   |    4283.02     |       46.48        |
|   NAUKRI   | 29901.64 |    62.03    | | |   POWERGRID   |    4710.32     |       45.31        |
| JSWENERGY  | 27070.38 |    62.16    | | |   PHOENIXLTD  |    3395.68     |       48.05        |
|    BDL     | 29358.4  |     52.0    | | |     COLPAL    |     2103.1     |       51.28        |
|   HUDCO    | 26545.05 |    57.33    | | |      LICI     |    4802.91     |       44.12        |
|  CGPOWER   | 25145.68 |    54.17    | | |   HEROMOTOCO  |    4157.95     |       45.71        |
| BANKINDIA  | 21367.04 |    62.75    | | |      MRF      |      0.0       |        56.1        |
|    BHEL    | 23171.03 |    56.34    | | |     TECHM     |     4279.1     |       44.93        |
|    BEL     | 22653.56 |    57.35    | | |     TITAN     |    3147.85     |        47.5        |
|   CONCOR   | 20569.02 |    61.25    | | |   BHARTIHEXA  |     4203.4     |       44.44        |
| ADANIPOWER | 23749.26 |    51.43    | | |      BSE      |    4582.46     |       43.48        |
|    MRPL    | 24003.62 |    48.48    | | |    JSWINFRA   |     4738.1     |       42.65        |
| APLAPOLLO  | 22046.94 |    52.78    | | |   PATANJALI   |    2313.73     |       48.44        |
|  TATATECH  | 19644.68 |    56.92    | | |    INDHOTEL   |     4516.3     |       42.47        |
| GODREJPROP | 19339.41 |    57.53    | | |   ICICIBANK   |    2682.31     |       46.75        |
|    RVNL    | 24436.57 |    44.62    | | |      ATGL     |    4039.05     |       43.24        |
|  CHOLAFIN  | 18452.31 |    59.21    | | |      NMDC     |    4363.72     |       41.94        |
| TORNTPHARM | 14987.16 |    67.07    | | |   POONAWALLA  |    4298.47     |       42.03        |
|  ADANIENT  | 18558.34 |    57.89    | | |     IREDA     |    4122.53     |       41.27        |
|  HDFCLIFE  | 16611.13 |    59.72    | | |     GRASIM    |    3615.69     |       42.47        |
|   LODHA    | 16389.81 |    56.58    | | |   KOTAKBANK   |    2834.93     |       44.05        |
| APOLLOTYRE | 16660.17 |    55.56    | | |      SJVN     |    3274.89     |       42.86        |
| TORNTPOWER | 16094.43 |    56.58    | | |   MOTHERSON   |    3385.77     |       41.67        |
|   RECLTD   | 17253.7  |    52.86    | | |    SONACOMS   |    1201.78     |       47.06        |
|   AUBANK   | 16152.29 |    55.56    | | |   BANDHANBNK  |    3890.03     |        40.0        |
|    VBL     | 16480.76 |    52.78    | | |      ONGC     |    2566.07     |       43.08        |
| PERSISTENT | 17023.49 |    51.32    | | |    NLCINDIA   |     1453.1     |       45.21        |
| UNIONBANK  | 14981.65 |    52.08    | | |      BPCL     |    4109.79     |       38.24        |
|  MANKIND   | 12699.97 |    53.95    | | |     ALKEM     |    1282.33     |       45.21        |
|  DIVISLAB  | 14676.03 |    47.95    | | |   BAJAJHLDNG  |    3064.82     |       40.62        |
| SUNDARMFIN | 13120.81 |    50.79    | | |     BIOCON    |    2958.83     |       40.62        |
|  PRESTIGE  | 12080.15 |    53.09    | | |      TCS      |     431.92     |       46.75        |
|  KPITTECH  | 15106.87 |    45.45    | | |   BAJFINANCE  |    -903.87     |        50.0        |
| BAJAJ_AUTO | 10111.72 |    56.96    | | |      LTIM     |    1909.63     |       42.47        |
|  GODREJCP  | 10994.99 |    54.41    | | |    TATACHEM   |    2168.72     |       41.43        |
| POLICYBZR  | 13670.52 |    46.58    | | |   MUTHOOTFIN  |    1975.55     |       41.79        |
|    IRFC    | 13363.64 |    46.55    | | |      UPL      |    1629.55     |       42.03        |
|    PNB     | 10908.21 |    52.63    | | |      IOC      |    3533.31     |       37.21        |
|   TRENT    | 10917.02 |    51.35    | | |      NTPC     |     982.66     |       43.28        |
|    OFSS    | 11867.44 |    47.22    | | |   ABCAPITAL   |    2272.48     |       39.34        |
|   VOLTAS   | 9488.34  |    52.78    | | |    JSWSTEEL   |    2851.65     |        37.5        |
|    IGL     | 12077.98 |    46.15    | | |    MPHASIS    |    1274.95     |       41.33        |
|  HAVELLS   | 9930.35  |    51.39    | | |    HDFCAMC    |    1668.58     |        40.3        |
|    DLF     | 9445.54  |    52.11    | | |   EICHERMOT   |    1835.59     |       39.71        |
| ADANIPORTS | 9411.46  |     52.0    | | |    RELIANCE   |     855.26     |       42.11        |
|  INDIANB   | 10650.43 |    48.57    | | |      SBIN     |    -831.48     |       46.25        |
|   PAYTM    | 10499.96 |    48.78    | | |   TATASTEEL   |    1494.45     |       40.43        |
| CUMMINSIND | 8498.77  |    53.09    | | |      MFSL     |    -110.84     |        44.3        |
|  HINDALCO  | 10455.55 |     48.0    | | |      FACT     |    2543.36     |        37.5        |
|   ABFRL    | 10102.68 |    47.83    | | |    HDFCBANK   |    1581.86     |       39.13        |
|    PFC     | 11856.61 |    43.28    | | |     IRCTC     |    2610.84     |       35.71        |
|  SIEMENS   | 10512.46 |    46.48    | | |    TATACOMM   |    -726.11     |       43.84        |
|    LTF     | 11292.54 |    44.44    | | |   SHRIRAMFIN  |    -449.31     |       42.47        |
|  AXISBANK  | 8507.64  |    50.75    | | |   APOLLOHOSP  |    -326.95     |       41.79        |
| KALYANKJIL | 9770.76  |    46.48    | | |   NESTLEIND   |    -892.18     |       42.86        |
|    OIL     | 10438.2  |    44.78    | | |   DELHIVERY   |    2249.47     |       34.85        |
| INDUSTOWER | 9157.66  |    47.14    | | |    SHREECEM   |     331.84     |       39.39        |
|   DIXON    | 7906.44  |     50.0    | | |   ZYDUSLIFE   |    -189.88     |       40.58        |
| TATAPOWER  | 7477.12  |    50.67    | | |   ADANIENSOL  |    -1446.95    |       43.06        |
| INDUSINDBK | 7861.11  |    49.32    | | |   COCHINSHIP  |     366.34     |       38.03        |
